feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,labels
6.339897507113801289e+00,3.281588236445657003e+00,3.957980227139497043e+00,-1.256853411700342704e-01,-3.610756104832116176e+00,1.128824429935531271e+01,-1.951118432571204320e+00,2.794211288494819367e+00,1.012461852016824260e+01,3.221760800556360493e+00,5.846463547779228165e+00,4.278224536772407660e+00,5.405203278872070527e+00,2.067343403573859373e+00,7.283492603553344935e+00,5.787882716274664219e+00,8.327905951496383352e+00,5.486699145992884219e+00,-2.190828965356267588e+00,5.834059750196164629e+00,1.998013444045016351e+00,4.189285958434264323e+00,1.102840501526917194e+01,4.218827804278461713e+00,9.657172159801183042e+00,9.568979962712836240e+00,9.833278565763315271e+00,6.553291188170953241e+00,2.565989680295365893e+00,1.585752503432890315e+00,3.289921167020944281e+00,4.033009203666144682e-01,-3.800817159789022792e-01,7.901362732340387218e+00,7.871313322334430929e+00,3.704136099285066930e+00,7.669607625533441109e+00,4.635750883404358369e+00,5.398609941939683132e+00,4.612024199667711599e+00,6.207024640550582006e+00,6.556958258494227643e+00,-5.173072766938409117e-01,1.650739350595124666e+00,-6.871877895623255961e-02,1.438204443866492932e+00,-9.001958780010644867e-01,3.110193506498307947e+00,9.473990534276556241e-01,5.025567563229298429e+00,1.882412501670204241e+00,1.232260398178534722e+00,1.572490783280238391e+00,-4.045968431005532717e-01,2.061925533080362527e+00,-7.057164848039900740e-01,-2.102925875389141197e+01,-1.723995374470559128e+01,-1.872900904473986827e+01,-1.779332115653438251e+01,-1.906811610190358408e+01,-1.432411193530289317e+01,-1.675066269049333201e+01,-1.304376480648084247e+01,-1.590292295226162089e+01,-1.664512308996777890e+01,-1.863723500864607985e+01,-1.905922294855218979e+01,-1.745401113410644811e+01,-1.892381774631934022e+01,1
5.888987109065731751e+00,4.983017349788267047e+00,2.846339548434499989e+00,2.307005417204952114e+00,-3.043712528700701636e+00,8.987618062905985417e-01,6.090577474280064685e+00,5.426862806454598731e-01,2.891069158775123604e+00,1.017817702931710677e+01,5.081182276487735017e+00,4.123592766363695539e+00,6.512348614430087501e+00,6.497890906868046379e+00,4.243914204395797363e+00,5.933184316102869005e+00,3.426163697600754787e+00,5.435577358364247935e+00,3.969823346374646178e+00,3.151301375722848963e+00,5.465217376853376940e+00,4.482585038829053126e+00,6.161214328670906681e+00,7.832103025043376299e+00,7.719358996246319826e+00,5.704059990749469122e+00,9.338326869868659230e+00,8.690305049934766046e+00,5.002396459959604358e-02,2.628643072802555825e+00,2.072591983280744454e+00,3.519800174176957785e+00,1.453983554982083204e+00,1.863736448914683486e+00,2.893692601966801892e+00,3.453834489641042005e+00,8.061925553103604258e+00,1.289649691490053485e+01,8.294795434694570702e+00,4.063708828144057428e+00,8.213795496815416541e+00,5.538082697862216186e+00,-2.526422063505983640e-01,1.054773376397780682e+00,1.074085480245418500e+00,1.224306178484074081e+00,-2.036935953159063617e-01,4.349645269312657270e+00,3.491418331858953561e+00,4.336407718725150851e+00,2.604063280365749744e+00,3.148163849959523475e+00,2.728872754944676959e+00,6.561148263056152397e-01,3.189076343477949216e+00,9.805113690524852599e-01,-1.584290550620302085e+01,-1.425205135121801980e+01,-1.499888257563069338e+01,-1.424261954785558970e+01,-1.643385867128068867e+01,-1.181866067471469606e+01,-1.418365430993205401e+01,-1.206499437265218866e+01,-1.442555777633742053e+01,-1.459655697355506021e+01,-1.564598728079876722e+01,-1.801068115400961744e+01,-1.539830678260311991e+01,-1.709271199356645354e+01,1
6.309284168995690223e+00,-3.678723596610713020e+00,3.503328444581164547e+00,-3.638213905575459428e+00,-4.170560275816675433e-01,-5.524212638847301626e+00,-4.963998231351032686e+00,3.207569908571012096e+00,3.857982822615924512e+00,3.092084070350815672e+00,-3.008959378207986202e+00,3.213849888089811979e-01,2.875280707939112723e+00,7.114751922441358012e+00,7.045380645872108438e+00,5.136810700405987085e+00,4.066976039020913980e+00,3.650200121052126878e+00,5.076558610117468007e+00,1.962903221350509986e+00,1.415643556878696696e+00,2.453620762478008643e+00,2.312300792276819283e+00,4.476354885588062160e+00,3.485943670487176238e+00,6.877420721795640013e+00,6.817975608419286182e+00,2.364525761330405373e+00,2.653311436387252087e+00,4.589963074387821695e-01,3.590193190447288796e+00,-1.647009982891845858e+00,1.161050796979772981e+00,2.976688472905887561e+00,4.306857840782574165e+00,7.786786191558919823e-01,3.370750811188196749e+00,4.181308751296198167e+00,2.235247181300966446e+00,1.660762646420444355e+00,2.735782602715812750e+00,4.440785261113170179e+00,6.645160249045243273e-01,1.654511733486500713e+00,5.181113820679558168e-01,-3.454533059089540670e-01,-1.254623126925526577e+00,2.992659326490170635e+00,1.354424751250790537e+00,2.809816786826810020e+00,1.290052846911358131e+00,2.449899698894355105e+00,2.058862792635857808e+00,1.510764696601602397e+00,3.061986976847888897e+00,1.475751274665393131e+00,-1.879889737182285359e+01,-1.611583738765121510e+01,-1.765411232764831695e+01,-1.771160367503051702e+01,-1.597087034277964435e+01,-1.328129944290120612e+01,-1.314122754748795074e+01,-1.342774883813589426e+01,-1.495523549668155283e+01,-1.451993818594693053e+01,-1.547345208934550165e+01,-1.758671361708563552e+01,-1.383380562287147164e+01,-1.681428858468013132e+01,1
1.251042832296142215e+01,7.145971758220218462e+00,2.746124794774117639e+00,3.561963140125135929e+00,7.113470533270868756e+00,9.954435517907032960e+00,8.549441507944115060e+00,4.114802038065729306e+00,9.992806350414936034e+00,3.588256041943882479e+00,9.750550384873232446e+00,1.718030173703066987e+00,5.426134760168238813e+00,5.352352929796581726e+00,9.712878948441321825e+00,9.985052197521003592e+00,7.681369629623522322e+00,8.892658025105367514e+00,9.847292495605733720e+00,1.098606123324864470e+01,1.018253815251256889e+01,7.833532491362944938e+00,9.575518532343343381e+00,1.187827796577228767e+01,1.062887312137267060e+01,9.416954557266757675e+00,1.105578010340111206e+01,1.020405064816759477e+01,3.967585693026183247e+00,5.878077591729717888e+00,2.960726266226714198e+00,-5.359668107413154692e-01,3.079509204729508731e+00,6.467655002086657667e+00,5.764765992084425861e+00,6.634531154987616475e+00,7.226104751423548578e+00,9.673099855788921175e+00,7.463504448161071281e+00,3.947663572563853140e+00,7.235935521863127384e+00,9.991367709151272036e-02,4.958025134292741443e-02,1.833140476753794212e+00,1.815368181259442437e-01,-1.045907906143333399e+00,-4.875475225529491974e-01,3.747117146460883230e+00,8.621822315009535220e-01,1.721074788411770307e+00,-4.010892554960478473e-01,1.802771452701441790e+00,2.666940314824321145e+00,-4.749667846583476849e-01,2.511810177066559291e+00,-1.270958063272751737e+00,-1.888135964208036555e+01,-1.641316941948005237e+01,-1.812744371835302459e+01,-1.794429616952795570e+01,-1.730156976637471544e+01,-1.035127427565263858e+01,-1.290154737775705485e+01,-1.103622009650654157e+01,-1.479788873438578989e+01,-1.567474893304688166e+01,-1.680271580223018546e+01,-1.773134104023757374e+01,-1.547063979974036485e+01,-1.814773248221328572e+01,1
-6.019924306212283138e-01,3.592303892898445650e+00,-1.094875588641730957e+00,1.755427557607225353e+00,-2.838670176457775973e+00,1.920540220193448722e+00,-9.534496206127470730e-01,1.580662741056382936e+00,1.589873969689109101e+00,5.369447809721287435e+00,3.013910315548359087e+00,5.477261453087536758e+00,3.967914098733765549e+00,3.998917576143120378e+00,6.493425340042223048e+00,7.576486512918410909e+00,7.297755132529134769e+00,7.022722480456432770e+00,3.377282661642639017e+00,4.831249073703706820e+00,4.994670253324382969e+00,3.477579378603484983e+00,3.657004832530320826e+00,6.000798466377287532e+00,6.482001478190620780e+00,6.628086895251645849e+00,6.479038366770603297e+00,8.619117206820247290e+00,2.270756148155200549e+00,3.831952980363725114e+00,4.904301378277755141e+00,1.863330289942862095e+00,-7.131611389309630011e-01,3.126297439712554471e+00,3.688332706281018059e+00,5.421817240974916352e+00,5.008067609757613781e+00,2.981545267529845944e+00,4.978865492061185449e+00,5.762154996945199947e+00,5.603845159359090999e+00,5.786810218543731565e+00,2.312791710016038060e-01,2.403037444954834179e+00,2.258496022981797413e+00,7.369857906808400250e-01,9.824905492550874975e-01,3.238050419424223225e+00,6.017621814311949202e-02,4.272416007277503702e+00,3.174015504624196016e+00,4.323348671115628150e+00,3.823693431082298311e+00,1.349236371697229986e+00,4.238131190343509047e+00,1.424564021898212962e+00,-1.863589924251131791e+01,-1.639914321393610308e+01,-1.900561015351928518e+01,-2.077520125877808255e+01,-1.975227241436493486e+01,-1.153454606210875255e+01,-1.526644591562031827e+01,-1.261661067585263574e+01,-1.727554861463287850e+01,-1.529372937511037200e+01,-1.422406143455939720e+01,-1.640386122509153211e+01,-1.456918921094127839e+01,-1.662205317717231523e+01,1
4.405353430405642534e+00,9.200644435368756646e+00,3.499809872116640186e+00,6.457801711042655768e+00,-9.188095424847961823e-01,-1.943514300940192507e+00,3.839601813609434977e+00,-2.104019485230224529e+00,1.764966001751622215e+01,6.598977562994968515e+00,5.142843988045157744e+00,3.967302638871562870e+00,6.767213853045825012e+00,2.626086576673639872e+00,-4.856508425605250423e-01,5.143529859249882819e+00,5.286252460724032431e+00,4.234594161496605835e+00,2.727278216318806514e+00,5.005695007675601715e+00,8.750856334317999696e+00,7.369335430224885464e+00,1.671307411399761378e+01,8.278457974442117617e+00,8.689547015679391251e+00,2.258592254152000045e+00,1.181553076511077727e+01,6.979738631787771652e+00,1.154836613960130043e+00,3.873684310883243498e+00,3.964842971420341478e+00,2.417804191072711273e+00,8.234045321587888377e-01,2.642363543021544192e+00,3.932941806313674071e+00,3.564470496993530357e+00,1.017577464935084919e+01,4.567373344097584997e+00,3.021474238408113244e+00,2.597094121805688882e+00,3.650270869698339471e+00,1.916438212515543249e+00,-2.063137562988745177e+00,-1.043099330306503036e+00,-1.079141024083463796e+00,-1.217230660767868233e+00,-4.122781364486539091e-01,2.160085049613605257e+00,3.938806808937392323e-01,4.030101079610556525e+00,2.797794402950744885e+00,1.187684751696005625e+00,7.571878792459583174e-01,-1.277388370293295772e+00,1.360855532052834604e+00,-5.416508955781652590e-01,-1.652937018570308680e+01,-1.331994164927923308e+01,-1.656173489398751641e+01,-1.633183138418636915e+01,-1.645107389497859884e+01,-1.094517768375295397e+01,-1.342592765190591564e+01,-1.266244935537969241e+01,-1.518845465830668928e+01,-1.258148258862802038e+01,-1.329245870496456838e+01,-1.564492621611312906e+01,-1.302008394352588994e+01,-1.463904000465970512e+01,1
1.394915785648851436e+00,6.166913286782929937e+00,3.309097784341830994e+00,4.142491004393070497e+00,2.155626297458304030e+00,2.767098147540077324e+00,-1.199774964493882878e+00,2.613975552260531909e+00,1.226440912760085267e+00,5.510990531827438588e+00,5.470408859422472680e+00,2.922891057540923931e+00,7.636212772611374433e+00,4.155355299697327531e+00,2.497416802932881930e-01,-3.580875365935906052e-01,6.215871766073068905e-01,-1.835604034069153956e+00,-1.659975795773246610e+00,2.352437655766113522e+00,4.595242266062282255e+00,9.001545852588700214e+00,3.279455193886398501e+00,4.904250971913693746e+00,4.593193393854743789e+00,4.926274365319311954e+00,7.881002282410979554e+00,6.573451724915858385e+00,2.487581861049429577e+00,2.723461173664474710e+00,2.261687808640354902e+00,-1.394417799991509055e+00,-9.886067174260986246e-01,1.097897821057529200e+00,5.991363597179826250e+00,3.940951764661376533e+00,-1.150906845580904836e+00,4.081608971547095344e+00,4.182138685615321982e+00,3.610046219309455573e+00,4.375232636544646780e+00,4.587242226268414491e+00,-1.145147940393373753e+00,1.475745421785109368e+00,-1.143217280500270494e-01,3.256056636478136257e-01,-1.398451794273376292e+00,2.579415116815838793e+00,-1.014503724204839585e+00,3.143296812229183779e+00,9.754001363909314826e-01,2.698485268622669686e+00,1.194596012383818850e+00,-9.712740980217140496e-01,1.732756907337735797e+00,-1.048501102886242764e+00,-1.652168689793502665e+01,-1.539117156679379761e+01,-1.659862076813817211e+01,-1.561820944908791020e+01,-1.751064316963952194e+01,-1.286902909184397892e+01,-1.678052680418747755e+01,-1.341534508233670486e+01,-1.563998972612442806e+01,-1.359741522939406444e+01,-1.384465120803504590e+01,-1.607352740374272670e+01,-1.479499454620214038e+01,-1.618328325661155986e+01,1
-6.590008417175839961e-01,5.525895506924222822e+00,1.086792190814026976e-01,2.326367753025129215e+00,4.370501616262214006e-01,-1.757593392626030537e+00,2.674585044729287819e+00,-2.812692222728803593e+00,6.877098384152068311e-01,5.019285355776166746e+00,1.647967747639641711e+00,-1.399254922385014144e+00,1.404915427610279766e+00,4.435818237861866464e+00,7.885930311271400761e-01,4.573065212979838257e-01,7.811003162884785911e-02,-6.482845951199270873e-01,1.766774650355652510e+00,1.996148912460883329e+00,8.726007595698295205e+00,4.238492260227575414e+00,5.118743518977806772e+00,8.029628433270215027e+00,6.478295578945019173e+00,4.149457160319229843e+00,7.518603931900604387e+00,6.572040045086142257e+00,-2.025274479931178817e+00,4.369245046845895430e+00,-1.634496219165369746e-01,-1.410831179374892441e+00,-6.834588585816220307e-01,3.198000315147926820e+00,5.290866107836493804e+00,-1.052958043402139277e+00,4.171908301837358835e+00,5.306008085049251477e+00,3.046108948941534500e+00,2.650042712050872939e+00,4.927083911460091059e+00,2.630255124063398675e+00,-8.407400890810073912e-01,2.196831577135170743e+00,-1.600361295034614384e-01,7.009301794570000910e-01,-1.529753610892228277e+00,5.941968782052155618e+00,1.474209566937840776e+00,9.953885333144656400e-01,3.417948434452481532e+00,3.665043153866935910e+00,2.663810445829390083e+00,8.960923917914286330e-01,2.871569290625958004e+00,6.047907083666655970e-01,-1.852315168169771198e+01,-1.465888765843986441e+01,-1.645686428798123657e+01,-1.634461357459603903e+01,-1.610824230281260228e+01,-9.645657292968270013e+00,-1.303218422439998037e+01,-1.361972678541862969e+01,-1.413267200334811768e+01,-1.349535328877170137e+01,-1.470805911762998974e+01,-1.676468959417473670e+01,-1.357025002419406157e+01,-1.857652023010843934e+01,1
3.850329060075888821e-01,-1.412473989931791962e+00,7.368703121454878158e-02,-3.273482783077441560e+00,-2.380340479772976359e+00,1.946603410836347470e+00,1.123218383125937470e+00,-9.253600634462413876e-02,-3.885919328436503228e+00,9.432792842049612103e-01,-1.235495659931367785e+00,6.390757185938769069e-01,-2.863073321760158496e+00,1.732563759504629930e+00,-6.847436750247717363e-01,3.594820636462682462e+00,1.860928948478297151e+00,9.423183863098757440e-01,3.224836926944587123e+00,1.007093743377172057e+00,6.780141787443177748e+00,4.725360383617829285e+00,1.540343733289420092e+00,6.080894138513054159e+00,3.106998042324512710e+00,4.201494976078993027e+00,3.226232800902820053e+00,5.803743206699828683e+00,6.693355578847122178e-01,2.801171754790360957e+00,-1.253331011013474772e+00,-3.220449802107857584e-01,3.485232073797956964e+00,2.069812992936144624e+00,5.894749584041331758e+00,2.871535402786960400e+00,3.232246475978135081e+00,4.458754132302986228e+00,4.257047203998997276e+00,8.332387583734934822e-01,4.256552957114653424e+00,1.813261048015061938e+00,-1.576395936425798450e+00,-2.274147314845205090e-02,-4.205381761964762655e-01,-1.072547405016949090e-01,-1.487976703823918445e+00,3.877447576690577602e+00,3.566702392480459949e+00,1.844296674654562374e+00,1.512956435846086415e-03,2.954839251916522969e+00,1.559417874522105674e+00,-8.509003158887935570e-01,1.992897427340352579e+00,-6.269821807514756040e-01,-1.678655900116789468e+01,-1.511507083875582502e+01,-1.650830335322166675e+01,-1.602407610437532881e+01,-1.642564585720750614e+01,-1.375756872037622180e+01,-1.640372805800768674e+01,-1.405656322789517709e+01,-1.579519415352576850e+01,-1.246827935383467612e+01,-1.377352880928455647e+01,-1.689518654237290818e+01,-1.321195164617530793e+01,-1.637751734018047500e+01,1
1.077136043932855225e+00,3.560627938526350622e+00,1.184830008332452778e+00,2.235409442608298214e+00,3.808661425368246700e+00,-1.870244224276215395e+00,4.580723865514302884e-01,-2.123176768772715661e+00,2.846296769813791538e+00,3.814186705513122888e+00,4.711908811166590105e+00,2.446244307269394902e+00,6.457667653882779746e+00,6.567764445963886644e+00,7.552999673175340156e+00,5.843011646832064976e+00,8.159554940684239810e+00,5.101339915831320404e+00,6.425138276593078679e+00,3.814620688238731017e+00,6.545525603332327691e+00,3.498424645401242650e+00,4.745372553897307277e+00,1.056450508285423950e+01,9.349432723129917022e+00,8.986030714601753289e+00,7.483266094886084296e+00,8.098148626449052756e+00,3.873110219741362936e+00,2.978721772172572280e+00,4.989388654446374360e+00,2.550964216209147484e+00,-1.621604876232144887e+00,4.223808806740966482e+00,5.548715204589638184e+00,4.101582101167395855e+00,1.952119610397380578e+00,2.572608482156409693e+00,3.352119643558323592e+00,6.596496229522708532e+00,3.913095106337952434e+00,5.954037199735315866e+00,-2.095512684927409719e+00,-1.191606532076943115e-01,-1.665520321896178491e+00,-1.992455346551130546e+00,-3.421488757506399914e+00,3.487616851700922727e+00,2.728259707243079646e+00,4.376087004891185295e+00,-1.019881827391762696e+00,1.989066582363303137e+00,-1.183010551808768129e+00,-1.308928494802566123e+00,2.084847135002753094e-01,-3.893313475342742080e+00,-1.766344632207168530e+01,-1.609901793416250015e+01,-1.795240694899194978e+01,-1.728670870409854388e+01,-1.696536182673861504e+01,-1.224943895523982818e+01,-1.413217254428487735e+01,-1.074172663307899178e+01,-1.794382526211488837e+01,-1.440737198945657482e+01,-1.546530495654092974e+01,-1.806355724625128900e+01,-1.555223932445998436e+01,-1.743023810191554190e+01,1
