epoch,epoch_val_accuracy,step,test_accuracy,train_loss,val_accuracy,val_loss
0,0.6171875,13,,,0.6171875,1.3025686740875244
1,0.671875,27,,,0.671875,1.0447076559066772
2,0.703125,41,,,0.703125,0.7911394238471985
3,,49,0.90625,0.39456436038017273,,
3,0.7421875,55,,,0.7421875,0.7433758974075317
4,0.7890625,69,,,0.7890625,0.5900511741638184
5,0.7578125,83,,,0.7578125,0.6995247602462769
6,0.8046875,97,,,0.8046875,0.5267517566680908
7,,99,1.0,0.1095392107963562,,
7,0.8828125,111,,,0.8828125,0.4192022681236267
8,0.8125,125,,,0.8125,0.4928584098815918
9,0.734375,139,,,0.734375,0.6490616798400879
10,,149,0.984375,0.0821046456694603,,
10,0.8984375,153,,,0.8984375,0.38432633876800537
11,0.7890625,167,,,0.7890625,0.602558970451355
12,0.859375,181,,,0.859375,0.3947104215621948
13,0.90625,195,,,0.90625,0.2758188843727112
14,,199,1.0,0.05039883032441139,,
14,0.8984375,209,,,0.8984375,0.3711165189743042
15,0.71875,223,,,0.71875,0.9481316804885864
16,0.875,237,,,0.875,0.33011090755462646
17,,249,0.96875,0.14385157823562622,,
17,0.9296875,251,,,0.9296875,0.2382492572069168
18,0.921875,265,,,0.921875,0.24642789363861084
19,0.921875,279,,,0.921875,0.21631360054016113
20,0.875,293,,,0.875,0.3972839117050171
21,,299,0.984375,0.03250952810049057,,
21,0.8671875,307,,,0.8671875,0.44171369075775146
22,0.90625,321,,,0.90625,0.22832752764225006
23,0.9140625,335,,,0.9140625,0.26021769642829895
24,,349,1.0,0.007951864041388035,,
24,0.9140625,349,,,0.9140625,0.19759120047092438
25,0.90625,363,,,0.90625,0.22379350662231445
26,0.9140625,377,,,0.9140625,0.18625715374946594
27,0.90625,391,,,0.90625,0.23666130006313324
28,,399,0.984375,0.030807925388216972,,
28,0.9140625,405,,,0.9140625,0.20570117235183716
29,0.9296875,419,,,0.9296875,0.2380523383617401
30,0.921875,433,,,0.921875,0.21736818552017212
31,0.9375,447,,,0.9375,0.18593327701091766
32,,449,0.96875,0.0998133048415184,,
32,0.90625,461,,,0.90625,0.23689743876457214
33,0.9140625,475,,,0.9140625,0.2545109689235687
34,0.90625,489,,,0.90625,0.2396022230386734
35,,499,1.0,0.017277466133236885,,
35,0.9296875,503,,,0.9296875,0.1900874823331833
36,0.921875,517,,,0.921875,0.1924998015165329
37,0.90625,531,,,0.90625,0.23955336213111877
38,0.9140625,545,,,0.9140625,0.20903383195400238
39,,549,1.0,0.008065251633524895,,
39,0.9296875,559,,,0.9296875,0.2395869493484497
40,0.9296875,573,,,0.9296875,0.23138901591300964
41,0.921875,587,,,0.921875,0.206880122423172
42,,599,1.0,0.010149931535124779,,
42,0.9296875,601,,,0.9296875,0.233098104596138
43,0.9296875,615,,,0.9296875,0.21497444808483124
44,0.921875,629,,,0.921875,0.21915856003761292
45,0.921875,643,,,0.921875,0.22239357233047485
46,,649,1.0,0.025005988776683807,,
46,0.9140625,657,,,0.9140625,0.2317381501197815
47,0.9140625,671,,,0.9140625,0.25549444556236267
48,0.9296875,685,,,0.9296875,0.21484962105751038
49,,699,1.0,0.008995689451694489,,
49,0.921875,699,,,0.921875,0.2381206601858139
50,0.9296875,713,,,0.9296875,0.2349454164505005
51,0.9453125,727,,,0.9453125,0.20211389660835266
52,0.921875,741,,,0.921875,0.2091103494167328
53,,749,1.0,0.01964193396270275,,
53,0.921875,755,,,0.921875,0.20513980090618134
54,0.921875,769,,,0.921875,0.23557215929031372
55,0.8984375,783,,,0.8984375,0.29211029410362244
56,0.921875,797,,,0.921875,0.25288665294647217
57,,799,1.0,0.011433111503720284,,
57,0.921875,811,,,0.921875,0.20428253710269928
58,0.9140625,825,,,0.9140625,0.21919424831867218
59,0.9375,839,,,0.9375,0.19233065843582153
60,,849,1.0,0.015295957215130329,,
60,0.9140625,853,,,0.9140625,0.2708014249801636
61,0.921875,867,,,0.921875,0.24252983927726746
62,0.921875,881,,,0.921875,0.209354430437088
63,0.921875,895,,,0.921875,0.22689485549926758
64,,899,1.0,0.01567303016781807,,
64,0.9140625,909,,,0.9140625,0.2268831580877304
65,0.9296875,923,,,0.9296875,0.2093992829322815
66,0.9375,937,,,0.9375,0.1994408369064331
67,,949,0.984375,0.05514491721987724,,
67,0.9296875,951,,,0.9296875,0.22059038281440735
68,0.921875,965,,,0.921875,0.2684435248374939
69,0.9453125,979,,,0.9453125,0.19290970265865326
70,0.921875,993,,,0.921875,0.2371707558631897
71,,999,1.0,0.017149219289422035,,
71,0.9375,1007,,,0.9375,0.19509997963905334
72,0.9296875,1021,,,0.9296875,0.23165395855903625
73,0.9140625,1035,,,0.9140625,0.24532996118068695
74,,1049,1.0,0.006175527349114418,,
74,0.921875,1049,,,0.921875,0.2439441978931427
75,0.921875,1063,,,0.921875,0.2526566982269287
76,0.8984375,1077,,,0.8984375,0.25776252150535583
77,0.9375,1091,,,0.9375,0.19063882529735565
78,,1099,1.0,0.005980293266475201,,
78,0.9140625,1105,,,0.9140625,0.20340180397033691
79,0.9296875,1119,,,0.9296875,0.17941135168075562
80,0.921875,1133,,,0.921875,0.1970461905002594
81,0.9140625,1147,,,0.9140625,0.23555217683315277
