epoch,epoch_val_accuracy,step,test_accuracy,train_loss,val_accuracy,val_loss
0,0.484375,21,,,0.484375,1.2025806903839111
1,0.4895833432674408,43,,,0.4895833432674408,1.1047688722610474
2,,49,0.65625,0.9133727550506592,,
2,0.53125,65,,,0.53125,1.0166735649108887
3,0.5520833134651184,87,,,0.5520833134651184,1.0464903116226196
4,,99,0.546875,1.0416027307510376,,
4,0.5989583134651184,109,,,0.5989583134651184,1.0086431503295898
5,0.5364583134651184,131,,,0.5364583134651184,1.1181933879852295
6,,149,0.734375,0.5930808782577515,,
6,0.6302083134651184,153,,,0.6302083134651184,0.9285257458686829
7,0.6302083134651184,175,,,0.6302083134651184,0.9647839665412903
8,0.5677083134651184,197,,,0.5677083134651184,1.0283987522125244
9,,199,0.953125,0.3993350863456726,,
9,0.625,219,,,0.625,1.021722674369812
10,0.625,241,,,0.625,0.9742464423179626
11,,249,0.75,0.6095066070556641,,
11,0.6614583134651184,263,,,0.6614583134651184,0.9785623550415039
12,0.625,285,,,0.625,1.0213245153427124
13,,299,0.890625,0.40756046772003174,,
13,0.6302083134651184,307,,,0.6302083134651184,1.0219401121139526
14,0.640625,329,,,0.640625,0.974443256855011
15,,349,0.859375,0.35907959938049316,,
15,0.625,351,,,0.625,0.9571605324745178
16,0.6302083134651184,373,,,0.6302083134651184,0.9892644882202148
17,0.640625,395,,,0.640625,1.0118778944015503
18,,399,0.953125,0.2694142460823059,,
18,0.6302083134651184,417,,,0.6302083134651184,1.018156886100769
19,0.6458333134651184,439,,,0.6458333134651184,0.984804630279541
20,,449,0.890625,0.3288128972053528,,
20,0.625,461,,,0.625,0.9592000842094421
21,0.6145833134651184,483,,,0.6145833134651184,0.9990798830986023
22,,499,0.796875,0.46447911858558655,,
22,0.6197916865348816,505,,,0.6197916865348816,1.0190457105636597
23,0.6302083134651184,527,,,0.6302083134651184,1.0040004253387451
24,,549,0.875,0.2943173050880432,,
24,0.6354166865348816,549,,,0.6354166865348816,0.980812132358551
25,0.640625,571,,,0.640625,1.0241546630859375
26,0.625,593,,,0.625,0.984379231929779
27,,599,0.890625,0.39754265546798706,,
27,0.6354166865348816,615,,,0.6354166865348816,0.9681866765022278
28,0.6354166865348816,637,,,0.6354166865348816,1.009308934211731
29,,649,0.828125,0.39810144901275635,,
29,0.625,659,,,0.625,0.9681143760681152
30,0.625,681,,,0.625,0.9857351183891296
31,,699,0.90625,0.341733455657959,,
31,0.625,703,,,0.625,0.9859989285469055
32,0.625,725,,,0.625,0.9694722294807434
33,0.625,747,,,0.625,0.9855756759643555
34,,749,0.875,0.376689612865448,,
34,0.625,769,,,0.625,0.9788134694099426
35,0.6197916865348816,791,,,0.6197916865348816,0.9531332850456238
36,,799,0.859375,0.46636509895324707,,
36,0.6302083134651184,813,,,0.6302083134651184,0.9762452244758606
37,0.6354166865348816,835,,,0.6354166865348816,0.9993791580200195
38,,849,0.9375,0.28561848402023315,,
38,0.6510416865348816,857,,,0.6510416865348816,0.9772322773933411
39,0.6354166865348816,879,,,0.6354166865348816,0.9670734405517578
40,,899,0.875,0.3978751599788666,,
40,0.625,901,,,0.625,0.9848034977912903
41,0.6197916865348816,923,,,0.6197916865348816,0.9999898076057434
