epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
0,0.3046875,1.3815529346466064,10,,0.3046875,1.3815529346466064
1,0.328125,1.3697925806045532,21,,0.328125,1.3697925806045532
2,0.3828125,1.3564108610153198,32,,0.3828125,1.3564108610153198
3,0.4609375,1.3203736543655396,43,,0.4609375,1.3203736543655396
4,,,49,1.2612870931625366,,
4,0.46875,1.303877830505371,54,,0.46875,1.303877830505371
5,0.4140625,1.3098630905151367,65,,0.4140625,1.3098630905151367
6,0.4375,1.291348934173584,76,,0.4375,1.291348934173584
7,0.375,1.3253135681152344,87,,0.375,1.3253135681152344
8,0.4609375,1.2693125009536743,98,,0.4609375,1.2693125009536743
9,,,99,1.1990318298339844,,
9,0.5703125,1.2370835542678833,109,,0.5703125,1.2370835542678833
10,0.4453125,1.277669072151184,120,,0.4453125,1.277669072151184
11,0.3984375,1.3584377765655518,131,,0.3984375,1.3584377765655518
12,0.4921875,1.326348066329956,142,,0.4921875,1.326348066329956
13,,,149,1.1312276124954224,,
13,0.40625,1.3235470056533813,153,,0.40625,1.3235470056533813
14,0.453125,1.2707390785217285,164,,0.453125,1.2707390785217285
15,0.5625,1.273512363433838,175,,0.5625,1.273512363433838
16,0.46875,1.2992970943450928,186,,0.46875,1.2992970943450928
17,0.4453125,1.2504091262817383,197,,0.4453125,1.2504091262817383
18,,,199,1.1550369262695312,,
18,0.5546875,1.2953484058380127,208,,0.5546875,1.2953484058380127
19,0.546875,1.2030861377716064,219,,0.546875,1.2030861377716064
20,0.5078125,1.2265325784683228,230,,0.5078125,1.2265325784683228
21,0.4453125,1.3562886714935303,241,,0.4453125,1.3562886714935303
22,,,249,1.0537091493606567,,
22,0.5390625,1.3193089962005615,252,,0.5390625,1.3193089962005615
23,0.3515625,1.3106393814086914,263,,0.3515625,1.3106393814086914
24,0.53125,1.2876487970352173,274,,0.53125,1.2876487970352173
25,0.53125,1.2451258897781372,285,,0.53125,1.2451258897781372
26,0.53125,1.2805196046829224,296,,0.53125,1.2805196046829224
27,,,299,1.0836857557296753,,
27,0.4921875,1.25515615940094,307,,0.4921875,1.25515615940094
